foodname,portiondesc
"Chicken or turkey with cream sauce, made without fat",chicken drumstick with sauce
"Chicken or turkey with cream sauce, made without fat",chicken leg (drumstick and thigh) with sauce
"Chicken or turkey with cream sauce, made without fat",chicken thigh with sauce
"Chicken or turkey with cream sauce, made without fat",chicken wing with sauce
"Chicken or turkey with cream sauce, made without fat",slice of chicken with sauce
"Chicken or turkey with cream sauce, made without fat",slice of turkey with sauce
"Chicken or turkey with cream sauce, made without fat",chicken breast with sauce
Chicken or turkey with mushroom soup sauce,chicken drumstick with sauce
Chicken or turkey with mushroom soup sauce,chicken leg (drumstick and thigh) with sauce
Chicken or turkey with mushroom soup sauce,chicken thigh with sauce
Chicken or turkey with mushroom soup sauce,chicken wing with sauce
Chicken or turkey with mushroom soup sauce,slice of chicken with sauce
Chicken or turkey with mushroom soup sauce,slice of turkey with sauce
Chicken or turkey with mushroom soup sauce,chicken breast with sauce
Chicken or turkey teriyaki,chicken drumstick with sauce
Chicken or turkey teriyaki,chicken leg (drumstick and thigh) with sauce
Chicken or turkey teriyaki,chicken thigh with sauce
Chicken or turkey teriyaki,chicken wing with sauce
Chicken or turkey teriyaki,chicken breast with sauce
"Chicken or turkey with barbecue sauce, skin eaten",chicken back with sauce
"Chicken or turkey with barbecue sauce, skin eaten",chicken leg (drumstick)
"Chicken or turkey with barbecue sauce, skin eaten",chicken leg
"Chicken or turkey with barbecue sauce, skin eaten",chicken thigh
"Chicken or turkey with barbecue sauce, skin eaten",chicken wing
"Chicken or turkey with barbecue sauce, skin eaten",slice of chicken with sauce
"Chicken or turkey with barbecue sauce, skin eaten",slice of turkey with sauce
"Chicken or turkey with barbecue sauce, skin eaten",medium chicken breast with sauce
"Chicken or turkey with barbecue sauce, skin not eaten",chicken wing
"Chicken or turkey with barbecue sauce, skin not eaten",chicken leg (drumstick)
"Chicken or turkey with barbecue sauce, skin not eaten",chicken leg
"Chicken or turkey with barbecue sauce, skin not eaten",chicken thigh
"Chicken or turkey with barbecue sauce, skin not eaten",chicken breast
"Sweet and sour chicken, with vegetables",cup
"Sweet and sour chicken, with vegetables",nugget
Chicken curry,cup
Chicken curry,drumstick with sauce
Chicken curry,leg (drumstick and thigh) with sauce
Chicken curry,thigh with sauce
Chicken curry,wing with sauce
Chicken curry,breast with sauce
Chicken with mole sauce,cup
Chicken or turkey with cheese sauce,cup
Chicken or turkey cordon bleu,roll
Chicken or turkey parmigiana,cup
Chicken or turkey parmigiana,patty with sauce and cheese
Chicken or turkey parmigiana,chicken breast with sauce and cheese
Chicken or turkey parmigiana,chicken thigh with sauce and cheese
"Lemon chicken, Chinese style",drumstick with sauce
"Lemon chicken, Chinese style",leg (drumstick and thigh) with sauce
"Lemon chicken, Chinese style",thigh with sauce
"Lemon chicken, Chinese style",wing with sauce
"Lemon chicken, Chinese style",breast with sauce
Chicken kiev,portion (1 whole breast)
Crab imperial,stuffed crab shell
Fish timbale or mousse,cup
Lobster newburg,cup
Shrimp curry,cup
Shrimp cocktail,shrimp with sauce
"White clam sauce, made with olive oil ",cup
"White clam sauce, made with butter",cup
Shrimp with lobster sauce,cup
Sweet and sour shrimp,cup
Sweet and sour shrimp,shrimp
Fish sauce,teaspoon
"Shrimp scampi, made with butter",cup
"Shrimp scampi, made with butter",shrimp
"Shrimp scampi, made with margarine",cup
"Shrimp scampi, made with margarine",shrimp
"Shrimp scampi, made with vegetable oil",cup
"Shrimp scampi, made with vegetable oil",shrimp
Fish curry,cup
Shrimp teriyaki,cup
Marinated fish (Ceviche),cup
"Spaghetti sauce, with meat and vegetables, homemade-style",cup
Beef stew with tomato-based sauce and potatoes,cup
Mexican style beef stew with tomato-based sauce and potatoes,cup
"Beef goulash, with potatoes",cup
Beef stew with potatoes and gravy,cup
Roast beef hash,cup
Corned beef hash,medium can (15 oz)
Beef and macaroni with cheese sauce (Hamburger Helper),cup
Beef and noodles with tomato-based sauce (Hamburger Helper),cup
Chili con carne with beans and macaroni,cup
"Beef goulash, with noodles",cup
"Beef stroganoff, with noodles (Hamburger Helper)",cup
"Chili con carne, with beans and rice",cup
Beef and rice with soy-based sauce (Hamburger Helper) ,cup
Beef and rice with cheese sauce (Hamburger Helper Cheesy Enchilada),cup
"Meat loaf, made with beef","ounce(s), cooked"
"Meat loaf, made with beef",medium meatball
"Meat loaf, made with beef",medium patty
"Meat loaf, made with beef",medium slice
"Meat loaf, made with beef, with tomato-based sauce",medium meatball
"Meat loaf, made with beef, with tomato-based sauce",medium patty
"Meat loaf, made with beef, with tomato-based sauce",medium slice
Creamed chipped beef on toast,slice toast with sauce
Meat loaf made with ham (ham loaf),medium meatball
Meat loaf made with ham (ham loaf),medium slice
"Meat loaf, made with venison",medium meatball
"Meat loaf, made with venison",medium slice
Chicken or turkey hash,cup
"Chicken or turkey casserole, with noodles and white sauce",cup
"Chicken or turkey casserole, with noodles and cheese sauce",cup
Chicken or turkey tetrazzini,cup
"Chicken or turkey casserole, with noodles and tomato-based sauce",cup
"Chicken or turkey casserole, with rice and white sauce (Chicken Helper)",cup
"Chicken or turkey casserole, with rice and tomato-based sauce",cup
"Chicken or turkey casserole, with rice and soy-based sauce (Chicken Helper Chicken Teriyaki)",cup
Chicken or turkey with dumplings,cup
Chicken or turkey with stuffing,cup
Chicken or turkey croquette,croquette
"Meat loaf, made with chicken or turkey",medium meatball
"Meat loaf, made with chicken or turkey",medium slice
"Meat loaf, made with chicken or turkey, with tomato-based sauce",medium meatball
"Meat loaf, made with chicken or turkey, with tomato-based sauce",medium slice
Codfish ball or cake,codfish ball
Codfish ball or cake,codfish cake
"Crab cake, sauteed in butter","cake (2-3/4"" across, 3/4"" high)"
"Crab cake, cooked without added fat","cake (2-3/4"" across, 3/4"" high)"
"Crab cake, sauteed in oil ","cake (2-3/4"" across, 3/4"" high)"
Gefilte fish,piece with broth
"Salmon cake, patty or croquette, fried in shortening",cake or patty
"Salmon cake, patty or croquette, fried in oil ",cake or patty
"Shrimp noodle casserole, with cheese sauce",cup
Oyster fritter,fritter
Flounder with crab stuffing,piece
"Lobster with bread stuffing, baked",lobster
Clams Casino,clam
Shrimp with crab stuffing,cup
Shrimp with crab stuffing,stuffed shrimp
"Shrimp toast, fried",slice
Seafood restructured (imitation crab meat),"cup, chunks or flakes"
"Tuna noodle casserole, with cream or white sauce, no vegetables",cup
"Tuna noodle casserole, made with mushroom soup, no vegetables",cup
"Tuna rice casserole, made with mushroom soup, no vegetables",cup
"Meat loaf, made with beef and pork",medium meatball
"Meat loaf, made with beef and pork",medium patty
"Meat loaf, made with beef and pork",medium slice
"Meat loaf, made with beef, veal and pork",medium meatball
"Meat loaf, made with beef, veal and pork",medium patty
"Meat loaf, made with beef, veal and pork",medium slice
"Meat loaf, made with beef and pork, with tomato-based sauce",medium meatball
"Meat loaf, made with beef and pork, with tomato-based sauce",medium patty
"Meat loaf, made with beef and pork, with tomato-based sauce",medium slice
"Beef stew, in tomato-based sauce, with potatoes and carrots (Dinty Moore)",cup
"Beef stew, in tomato-based sauce, with potatoes, no carrots",cup
"Beef stew, in gravy, with potatoes and carrots",cup
"Beef stew, in gravy, with potatoes, no carrots",cup
"Shepherd's pie, made with beef",cup
"Beef chow mein (chop suey), with chow mein noodles",cup
"Stuffed cabbage rolls, with beef and rice",cup
"Stuffed cabbage rolls, with beef and rice",cabbage roll
"Stuffed grape leaves, with beef and rice",cup
"Stuffed grape leaves, with beef and rice",roll
Beef pot pie,"8-ounce pie (4""-5"" across)"
"Pork chow mein (chop suey), with chow mein noodles",cup
"Sweet and sour pork, with rice",cup
"Shepherd's pie, made with lamb",cup
"Shepherd's pie, made with lamb","piece (1/6 of 8"" pie)"
"Lamb stew, in gravy, with potatoes and carrots",cup
"Lamb stew, in gravy, with potatoes, no carrots",cup
"Stuffed grape leaves, with lamb and rice",roll
"Lamb stew, in tomato-based sauce, with potatoes and carrots",cup
"Lamb stew, in tomato-based sauce, with potatoes, no carrots",cup
"Rabbit stew, with potatoes and vegetables",cup
"Venison, (deer), stew, in tomato-based sauce, with potatoes and carrots",cup
"Venison, (deer), stew, in tomato-based sauce, with potatoes, no carrots",cup
"Venison, (deer), stew, in gravy, with potatoes and carrots",cup
"Venison, (deer), stew, in gravy, with potatoes, no carrots",cup
"Chicken or turkey, potatoes, corn, and cheese, with gravy (KFC Mashed Potato Bowl with Gravy)",KFC Bowl
"Chicken or turkey stew, in gravy, with potatoes and carrots",cup
"Chicken or turkey stew, in gravy, with potatoes, no carrots",cup
"Chicken or turkey stew, in tomato-based sauce, with potatoes and carrots",cup
"Chicken or turkey stew, in tomato-based sauce, with potato, no carrots",cup
"Chicken or turkey noodle casserole, made with mushroom soup, with carrots",cup
"Chicken or turkey noodle casserole, made with mushroom soup, no carrots",cup
"Chicken or turkey stew, in tomato-based sauce, with noodles, with carrots",cup
"Chicken or turkey stew, in tomato-based sauce, with noodles, no carrots",cup
"Chicken or turkey chow mein (chop suey), with chow mein noodles",cup
"Chicken or turkey, rice, corn, and cheese, with gravy (KFC Rice Bowl with Gravy)",KFC Bowl
Chicken or turkey pot pie,16-ounce pie (Hungry Man)
Chicken or turkey pot pie,"8-ounce pie (4""-5"" across)"
Chicken or turkey pot pie,"piece (1/6 of 9"" pie)"
Paella with seafood,cup
"Seafood stew, in tomato-based sauce, with potatoes, no carrots",cup
"Shrimp chow mein (chop suey), with chow mein noodles",cup
"Shrimp creole, with rice",cup
"Tuna noodle casserole, with cream or white sauce, with vegetables",cup
Bouillabaisse,cup
Oyster pie,piece (1/6 of pie)
"Seafood stew, in tomato-based sauce, with potatoes and carrots",cup
"Tuna noodle casserole, made with mushroom soup, with vegetables",cup
Brunswick stew,cup
"Gumbo with rice and shellfish, pork, and/or poultry (New Orleans style)",cup
"Jambalaya, with meat and rice",cup
"Beef shish kabob with vegetables, no potatoes",shish kabob
"Beef stew, in tomato-based sauce, with carrots and onions",cup
Swiss steak,cup
Swiss steak,medium piece with sauce
"Beef stew, in tomato-based sauce, with peppers",cup
Beef and broccoli stir fry,cup
"Beef chow mein (chop suey), no noodles",cup
Kung Pao beef,cup
Chinese pepper steak,cup
"Beef taco filling: beef, cheese, tomato, taco sauce",cup
Sukiyaki (stir fried beef and vegetables in soy sauce),cup
Cabbage with ham hocks,cup
"Ham salad, with mayonnaise ",cup
"Ham salad, with low-calorie mayonnaise",cup
Greens with ham or pork,cup
Kung Pao pork,cup
"Moo Shu (Mu Shi) Pork, without Chinese pancake",cup
"Pork chow mein (chop suey), no noodles",cup
"Lamb stew, in gravy, with carrots, no potatoes",cup
"Lamb stew, in gravy, no carrots or potatoes",cup
"Lamb shish kabob, with vegetables, no potatoes",shish kabob
"Chicken or turkey shish kabob, with tomato, onion, and green pepper",shish kabob
"Chicken or turkey creole, without rice",cup
Chicken or turkey a la king with carrots,cup
Chicken or turkey a la king with carrots,Banquet's Cookin' Bag (4.5 oz)
Chicken or turkey a la king with mushrooms,cup
Chicken or turkey divan,cup
"Chicken and vegetable stir fry, in soy-based sauce, with green pepper, broccoli and carrots",cup
"Chicken and vegetable stir fry, in soy-based sauce, with bamboo shoots and water chestnuts",cup
General Tso (General Gau) chicken,cup
Moo Goo Gai Pan,cup
Kung pao chicken,cup
Almond chicken,cup
Almond chicken,breast with sauce
"Chicken salad, with mayonnaise ",cup
"Chicken salad, with mayonnaise-type dressing (Miracle Whip)",cup
"Chicken salad, with low-calorie mayonnaise-type dressing (Miracle Whip Light)",cup
"Chicken salad, with fat free mayonnaise-type dressing (Miracle Whip Fat Free)",cup
"Chicken salad, with low-calorie mayonnaise ",cup
"Chicken salad, with mayonnaise and grapes and almonds",cup
"Crab salad, with mayonnaise",cup
"Lobster salad, with mayonnaise ",cup
"Shrimp chow mein (chop suey), no noodles",cup
"Tuna salad, with mayonnaise",cup
"Tuna salad, with low-calorie mayonnaise-type dressing (Miracle Whip Light)",cup
"Tuna salad, with fat free mayonnaise-type dressing (Miracle Whip)",cup
"Tuna salad, with light mayonnaise ",cup
"Tuna salad, with mayonnaise-type dressing (Miracle Whip)",cup
"Shrimp salad, with mayonnaise ",cup
"Shrimp salad, with mayonnaise-type dressing (Miracle Whip)",cup
"Tuna salad, with egg, mayonnaise",cup
"Tuna salad, with egg, low-calorie mayonnaise-type dressing (Miracle Whip Light)",cup
"Tuna salad, with egg, fat free mayonnaise-type dressing (Miracle Whip Fat Free)",cup
"Tuna salad, with egg, low-calorie mayonnaise ",cup
"Tuna salad, with egg, mayonnaise-type dressing (Miracle Whip)",cup
Oysters Rockefeller,oyster
Lomi salmon,cup
Hunan shrimp,cup
"Shrimp and vegetable stir fry, in soy-based sauce, with snow peas, water chestnuts, onion, and celery",cup
"Shrimp creole, no rice, with margarine ",cup
"Shrimp creole, no rice, with vegetable oil ",cup
Kung Pao shrimp,cup
Lau lau (pork and fish wrapped in taro or spinach leaves),lau lau
"Liver, beef or calves, and onions",cup
"Liver, beef or calves, and onions",slice with onions
"Gumbo, without rice, with shellfish, pork, and/or poultry (New Orleans style)",cup
"Beef barbecue sandwich, on bun",barbecue sandwich
"Cheeseburger, plain, on bun",Wendy's Kid's meal cheeseburger
"Cheeseburger, plain, on bun",cheeseburger
"Cheeseburger, with mayonnaise and ketchup, on bun",Burger King Whopper Jr
"Cheeseburger, with mayonnaise and ketchup, on bun",Jack-in-the-Box Cheeseburger Deluxe
"Cheeseburger, with mayonnaise and ketchup, on bun",cheeseburger
"Cheeseburger, with mayonnaise and ketchup, on bun",Wendy's Jr. Cheeseburger Deluxe
"Double cheeseburger, plain, on bun",double cheeseburger
"Double cheeseburger, with mayonnaise, on bun",Jack-in-the-Box Bonus-Jack hamburger
"Double cheeseburger, with mayonnaise, on bun",double cheeseburger
"Double cheeseburger, with mayonnaise, on bun",Jack-in-the-Box Double Cheeseburger
"Double cheeseburger, with mayonnaise, on double-decker bun",McDonald's Big Mac
"Double cheeseburger, with mayonnaise, on double-decker bun",double cheeseburger
"Cheeseburger, with ketchup and mustard, on bun",Jack-in-the-Box cheeseburger
"Cheeseburger, with ketchup and mustard, on bun",McDonald's cheeseburger
"Cheeseburger, with ketchup and mustard, on bun",Roy Rogers Kid's Meal cheeseburger
"Cheeseburger, with ketchup and mustard, on bun",cheeseburger
"Cheeseburger, with ketchup and mustard, on bun",Burger King cheeseburger
"Cheeseburger, with ketchup and mustard, on bun",Hardee's cheeseburger
"Cheeseburger, slider, plain, on miniature bun",White Castle Miniature
"Cheeseburger, 1/4 lb meat, with ketchup and mustard, on bun",cheeseburger
"Cheeseburger, 1/4 lb meat, with ketchup and mustard, on bun",McDonald's Quarter Pounder with cheese
"Double cheeseburger, with ketchup, on bun ",Burger King Double Beef Whopper with cheese
"Double cheeseburger, with ketchup, on bun ",McDonald's Double cheeseburger
"Double cheeseburger, with ketchup, on bun ",double cheeseburger
"Double cheeseburger, with ketchup, on bun ",Burger King double cheeseburger
"Cheeseburger, 1/4 lb meat, with mayonnaise and ketchup, on bun",cheeseburger
"Cheeseburger, 1/4 lb meat, with mayonnaise and ketchup, on bun",Burger King Whopper
"Cheeseburger, 1/4 lb meat, with mayonnaise and ketchup, on bun",Jack-in-the-Box Jumbo-Jack Hamburger with cheese
"Cheeseburger, 1/4 lb meat, with mayonnaise and ketchup, on bun",Wendy's cheeseburger
"Bacon cheeseburger, with mayonnaise and ketchup, on bun",cheeseburger
"Bacon cheeseburger, with mayonnaise and ketchup, on bun",Wendy's Jr. Bacon Cheeseburger
"Bacon cheeseburger, with mayonnaise and ketchup, on bun",Carl's Jr. sandwich
"Double cheeseburger, 1/4 lb meat patties, with mayonnaise, on bun",Jack-in-the-Box sandwich
"Double cheeseburger, 1/4 lb meat patties, with mayonnaise, on bun",double cheeseburger
"Double cheeseburger, 1/4 lb meat patties, with ketchup, on bun",double cheeseburger
"Double cheeseburger, 1/4 lb meat patties, with ketchup, on bun",McDonald's Double 1/4- Pounder with Cheese
"Double bacon cheeseburger, 1/4 lb meat patties, on bun",double bacon cheeseburger
"Bacon cheeseburger, 1/4 lb meat, with ketchup, on bun",bacon cheeseburger
"Bacon cheeseburger, 1/4 lb meat, with ketchup, on bun",Roy Rogers bacon cheeseburger
"Double bacon cheeseburger, 1/4 lb meat patties, with mayonnaise, on bun",Jack-in-the-Box Ultimate cheeseburger
"Double bacon cheeseburger, 1/4 lb meat patties, with mayonnaise, on bun",double bacon cheeseburger
"Double bacon cheeseburger, 1/4 lb meat patties, with mayonnaise, on bun",Wendy's Baconator
"Double bacon cheeseburger, 1/4 lb meat patties, with mayonnaise and ketchup, on bun",double bacon cheeseburger
"Bacon cheeseburger, 1/4 lb meat, with mayonnaise and ketchup, on bun",bacon cheeseburger
"Bacon cheeseburger, 1/4 lb meat, with mayonnaise and ketchup, on bun",Wendy's bacon cheeseburger
"Bacon cheeseburger, 1/4 lb meat, with mayonnaise and ketchup, on bun",Burger King cheeseburger
"Hamburger, plain, on bun",Wendy's Kid's Meal hamburger
"Hamburger, plain, on bun",hamburger
"Hamburger, with ketchup, on bun",Hardee's hamburger
"Hamburger, with ketchup, on bun",McDonald's hamburger
"Hamburger, with ketchup, on bun",Roy Rogers Kid's Meal hamburger
"Hamburger, with ketchup, on bun",hamburger
"Hamburger, with ketchup, on bun",Burger King hamburger
"Hamburger, with ketchup, on bun",Carl's Jr. hamburger
"Hamburger, with ketchup, on bun",Jack-in-the-Box hamburger
"Hamburger, with mayonnaise and ketchup, on bun",Burger King Whopper Jr
"Hamburger, with mayonnaise and ketchup, on bun",Jack-in-the-Box Hamburger Deluxe
"Hamburger, with mayonnaise and ketchup, on bun",hamburger
"Hamburger, 1/4 lb meat, plain, on bun",hamburger
"Hamburger, 1/4 lb meat, plain, on bun",Roy Rogers hamburger
"Double hamburger, with ketchup, on bun",double hamburger
"Hamburger, 1/4 lb meat, with mayonnaise and ketchup, on bun",hamburger
"Hamburger, 1/4 lb meat, with mayonnaise and ketchup, on bun",Burger King Whopper
"Hamburger, 1/4 lb meat, with mayonnaise and ketchup, on bun",Jack-in-the-Box Grilled Sour Dough Burger
"Hamburger, 1/4 lb meat, with mayonnaise and ketchup, on bun",Jack-in-the-Box Jumbo Jack hamburger
"Hamburger, 1/4 lb meat, with mayonnaise and ketchup, on bun",Wendy's Single hamburger
"Hamburger, 1/4 lb meat, with mayonnaise and ketchup, on bun",Carl's Jr. hamburger
"Hamburger, 1/4 lb meat, with mayonnaise and ketchup, on bun",McDonald's Big N' Tasty
"Hamburger, with mayonnaise, on bun",hamburger
"Hamburger, slider, plain, on miniature bun",Jimmy Dean MiniBurger
"Hamburger, slider, plain, on miniature bun",White Castle Miniature
"Hamburger, 1/4 lb meat, with ketchup, on bun",hamburger
"Hamburger, 1/4 lb meat, with ketchup, on bun",McDonald's Quarter-Pounder
"Double hamburger, plain, on bun",double cheeseburger
"Double hamburger, 1/4 lb meat patties, with mayonnaise and catsup, on double-decker bun",Wendy's sandwich
"Double hamburger, 1/4 lb meat patties, with mayonnaise and catsup, on double-decker bun",double hamburger
"Double hamburger, 1/4 lb meat patties, with mayonnaise and catsup, on double-decker bun",Carl's Jr. hamburger
Meatball and spaghetti sauce submarine sandwich,sandwich
Meatball and spaghetti sauce submarine sandwich,"Subway Sub (6"" long)"
Meatball and spaghetti sauce submarine sandwich,"Jerry's Sub (8"" long)"
Corned beef sandwich,sandwich
"Reuben sandwich (corned beef sandwich with sauerkraut, cheese, and thousand island dressing)",sandwich
Pastrami sandwich,sandwich
Roast beef sandwich,Arby's Junior Roast Beef Sandwich
Roast beef sandwich,Arby's Regular Roast Beef Sandwich
Roast beef sandwich,Hardee's Roast Beef Sandwich
Roast beef sandwich,Rax Roast Beef Sandwich
Roast beef sandwich,Roy Rogers Roast Beef Sandwich
Roast beef sandwich,sandwich
"Roast beef sub, with lettuce, tomato and mayo",Hardee's Roast Beef Supreme
"Roast beef sub, with lettuce, tomato and mayo",sub sandwich
"Roast beef sub, with lettuce, tomato and mayo",Arby's Super sandwich
"Roast beef sub, with lettuce, tomato and mayo","Subway Sub (6"" long)"
"Roast beef sub, with lettuce, tomato and mayo","Jerry's Sub (8"" long)"
"Roast beef sandwich, with cheese",Arby's Beef 'N Cheddar
"Roast beef sandwich, with cheese",Arby's Beef 'N Swiss
"Roast beef sandwich, with cheese",Jack-in-the-Box Sirloin Cheesesteak
"Roast beef sandwich, with cheese",sandwich
French dip sandwich,sandwich
"Steak sandwich, plain, on roll",sandwich
"Steak and cheese sub, with lettuce and tomato",sub sandwich
"Steak and cheese sub, with lettuce and tomato","Subway Sub (6"" long)"
"Steak and cheese sub, with lettuce and tomato","Jerry's Sub (8"" long)"
"Steak and cheese sub, plain",sub sandwich
"Steak and cheese sub, with peppers and onions",Arby's Philly Beef 'N Swiss
"Steak and cheese sub, with peppers and onions",sub sandwich
"Gyro sandwich (pita bread, beef, lamb, onion, tomato, yogurt dressing)",gyro
"Grilled chicken club sandwich, with bacon, lettuce, tomato, and mayonnaise (Jerry's, Wendy's, McDonald's)",Arby's Turkey Club
"Grilled chicken club sandwich, with bacon, lettuce, tomato, and mayonnaise (Jerry's, Wendy's, McDonald's)",Wendy's Chicken Club
"Grilled chicken club sandwich, with bacon, lettuce, tomato, and mayonnaise (Jerry's, Wendy's, McDonald's)",sandwich
"Grilled chicken club sandwich, with bacon, lettuce, tomato, and mayonnaise (Jerry's, Wendy's, McDonald's)","Subway Sub (6"" long)"
"Grilled chicken club sandwich, with bacon, lettuce, tomato, and mayonnaise (Jerry's, Wendy's, McDonald's)","Jerry's Sub (8"" long)"
"BLT (bacon, lettuce, and tomato sandwich), with mayonnaise",sandwich
"Chicken (breaded, fried) club sandwich, with bacon, lettuce, tomato and creamy dressing (McDonald's)",sandwich
"Chicken (breaded, fried) club sandwich, with bacon, lettuce, tomato and creamy dressing (McDonald's)",McDonald's sandwich
"Chicken (breaded, fried) club sandwich, with bacon, lettuce, tomato, cheese, and mayonnaise (McDonald's)",sandwich
"Chicken (breaded, fried) club sandwich, with bacon, lettuce, tomato, cheese, and mayonnaise (McDonald's)",McDonald's sandwich
Bacon on biscuit (Hardee's),sandwich
Bacon on biscuit (Hardee's),Hardee's biscuit
Ham on biscuit (Hardee's),sandwich
Ham on biscuit (Hardee's),Hardee's biscuit
"Ham sandwich, with mayonnaise",sandwich
"Ham sandwich, with lettuce and margarine",sandwich
"Ham and cheese sandwich, with lettuce and margarine",sandwich
"Grilled ham and cheese sandwich, made with margarine",sandwich
"Hot ham and cheese sandwich, on bun (Arby's, Burger King, Hardee's)",Arby's Hot Ham and Cheese sandwich
"Hot ham and cheese sandwich, on bun (Arby's, Burger King, Hardee's)",Burger King Hot Ham and Cheese sandwich
"Hot ham and cheese sandwich, on bun (Arby's, Burger King, Hardee's)",Hardee's sandwich
"Hot ham and cheese sandwich, on bun (Arby's, Burger King, Hardee's)",sandwich
"Hot ham and cheese sandwich, on bun (Arby's, Burger King, Hardee's)",Hardee's Hot Ham 'N' Cheese sandwich
"Hot ham and cheese sandwich, on bun (Arby's, Burger King, Hardee's)",Hardee's Big Hot Ham 'N' Cheese sandwich
"Ham and cheese submarine sandwich, with lettuce, tomato and mayonnaise",sub sandwich
"Ham and cheese submarine sandwich, with lettuce, tomato and mayonnaise","Jerry's Sub (8"" long)"
"Pork sandwich, on white roll, with onions, dill pickles and barbecue sauce (McRib)",sandwich
"Pork barbecue sandwich, on bun",barbecue sandwich
"Roasted chicken sandwich, with mayonnaise",sandwich
"Chicken salad sandwich, with mayonnaise",sandwich
Chicken barbecue sandwich (Carl's Jr.),sandwich
Chicken barbecue sandwich (Carl's Jr.),Carl's Jr. sandwich
"Fried chicken sandwich (Chick-fil-A, McDonald's)",sandwich
"Fried chicken sandwich (Chick-fil-A, McDonald's)",Chick-fil-A sandwich
"Fried chicken sandwich, with lettuce, tomato and mayonnaise (Wendy's, Carl's Jr., Jack-in-the-Box, McDonald's, Burger King)",Burger King sandwich
"Fried chicken sandwich, with lettuce, tomato and mayonnaise (Wendy's, Carl's Jr., Jack-in-the-Box, McDonald's, Burger King)",Jack-in-the-Box sandwich
"Fried chicken sandwich, with lettuce, tomato and mayonnaise (Wendy's, Carl's Jr., Jack-in-the-Box, McDonald's, Burger King)",Wendy's sandwich
"Fried chicken sandwich, with lettuce, tomato and mayonnaise (Wendy's, Carl's Jr., Jack-in-the-Box, McDonald's, Burger King)",sandwich
"Fried chicken sandwich, with lettuce, tomato and mayonnaise (Wendy's, Carl's Jr., Jack-in-the-Box, McDonald's, Burger King)",McDonald's sandwich
"Fried chicken sandwich, with lettuce, tomato and mayonnaise (Wendy's, Carl's Jr., Jack-in-the-Box, McDonald's, Burger King)",Carl's Jr. sandwich
"Fried chicken sandwich, miniature, with mayonnaise (Chick-fil-A)",Kentucky Fried Chicken Chicken Little
"Fried chicken biscuit (Jimmy Dean, Hardee's)",Jimmy Dean Chicken Biscuit
"Fried chicken biscuit (Jimmy Dean, Hardee's)",sandwich
"Fried chicken biscuit (Jimmy Dean, Hardee's)",Hardee's biscuit
"Fried chicken sandwich, with lettuce and mayonnaise (McDonald's, Burger King, KFC)",Burger King sandwich
"Fried chicken sandwich, with lettuce and mayonnaise (McDonald's, Burger King, KFC)",McDonald's McChicken sandwich
"Fried chicken sandwich, with lettuce and mayonnaise (McDonald's, Burger King, KFC)",sandwich
"Chicken sandwich, fajita-style, on pita bread, with cheese, lettuce and tomato (Jack-in-the-Box)",Jack-in-the-Box Chicken Pita Pocket sandwich
"Chicken sandwich, fajita-style, on pita bread, with cheese, lettuce and tomato (Jack-in-the-Box)",sandwich
"Fried chicken wrap sandwich, with cheese, lettuce, and creamy dressing (McDonald's)",sandwich
"Grilled chicken sandwich, with lettuce, tomato, and mayonnaise-type salad dressing (BK Chicken Whopper)",Burger King sandwich
"Grilled chicken sandwich, on whole wheat roll, with lettuce, tomato and mayonnaise-type salad dressing (Hardee's, Jack-in-the-Box)",Hardee's sandwich
"Grilled chicken sandwich, on whole wheat roll, with lettuce, tomato and mayonnaise-type salad dressing (Hardee's, Jack-in-the-Box)",Jack-in-the-Box sandwich
"Grilled chicken sandwich, on whole wheat roll, with lettuce, tomato and mayonnaise-type salad dressing (Hardee's, Jack-in-the-Box)",sandwich
"Grilled chicken sandwich, on whole wheat roll, with cheese, lettuce, tomato and non-mayonnaise type spread (Wendy's)",Wendy's sandwich
"Grilled chicken sandwich, with lettuce, tomato, and non-mayonnaise type spread (Wendy's)",Wendy's sandwich
"Grilled chicken sandwich, with lettuce, tomato, and non-mayonnaise type spread (Wendy's)",Arby's sandwich
"Grilled chicken sandwich, on bun, with cheese, lettuce, tomato and mayonnaise (McDonald's, Carl's Jr.)",McDonald's McGrilled sandwich
"Grilled chicken sandwich, on bun, with cheese, lettuce, tomato and mayonnaise (McDonald's, Carl's Jr.)",Carl's Jr. sandwich
"Chicken submarine sandwich, with lettuce, tomato, and teriyaki sauce ",sub sandwich
"Chicken submarine sandwich, with lettuce, tomato, and teriyaki sauce ","Jerry's Sub (8"" long)"
"Chicken submarine sandwich, with lettuce, tomato, and teriyaki sauce ","Subway Oven Roasted Chicken Sub (6 "" long)"
"Chicken submarine sandwich, with lettuce, tomato, and teriyaki sauce ","Subway Sweet Onion Chicken Teriyaki Sub (6"" long)"
"Grilled chicken wrap, with cheese, lettuce, and creamy dressing (McDonald's)",sandwich
"Turkey sandwich, with mayonnaise",sandwich
Turkey salad sandwich,sandwich
"Turkey submarine sandwich, with cheese, lettuce, tomato and mayo",Arby's Sub
"Turkey submarine sandwich, with cheese, lettuce, tomato and mayo","Subway Sub (6"" long)"
"Turkey submarine sandwich, with cheese, lettuce, tomato and mayo","Jerry's Sub (8"" long)"
"Club sandwich, turkey, ham, roast beef, lettuce, tomato, and mayo",sandwich
